"a2_return","hometown_distance","residency_status","class_standing","transfer_student","extroversion"
"Yes",531.09,"Out-of-State Domestic","Sophomore","No","In Between"
"Yes",208.47,"Out-of-State Domestic","Sophomore","No","Introvert"
"Yes",205.84,"In-State","Sophomore","No","In Between"
"No",2039.36,"Out-of-State Domestic","First Year","No","Introvert"
"Yes",13,"In-State","Junior","No","In Between"
"Yes",11.51,"In-State","Junior","No","In Between"
"No",45,"In-State","Senior","Yes","In Between"
"Yes",687.88,"Out-of-State Domestic","Sophomore","No","Introvert"
"Yes",90,"In-State","Sophomore","Yes","In Between"
"No",620.75,"Out-of-State Domestic","First Year","No","In Between"
"No",24.12,"In-State","Junior","Yes","In Between"
"No",37.73,"In-State","Junior","No","In Between"
"Yes",98.6,"In-State","Sophomore","Yes","Introvert"
"Yes",2052,"Out-of-State Domestic","Sophomore","No","In Between"
"No",39.59,"In-State","First Year","No","In Between"
"Yes",634.89,"Out-of-State Domestic","First Year","No","Extrovert"
"No",242.55,"International","Sophomore","No","In Between"
"Yes",538.98,"Out-of-State Domestic","Sophomore","No","Extrovert"
"Yes",202.18,"Out-of-State Domestic","Sophomore","No","In Between"
"Yes",497.59,"Out-of-State Domestic","Sophomore","No","In Between"
"Yes",141.08,"In-State","Sophomore","No","Introvert"
"No",36.31,"In-State","First Year","No","In Between"
"Yes",262,"Out-of-State Domestic","First Year","No","Extrovert"
"No",229.25,"Out-of-State Domestic","First Year","No","In Between"
"Yes",40.31,"In-State","First Year","No","In Between"
"Yes",21.01,"In-State","First Year","No","Extrovert"
"Yes",523.64,"Out-of-State Domestic","First Year","No","Introvert"
"No",1923.84,"Out-of-State Domestic","Sophomore","No","In Between"
"Yes",38.4,"In-State","First Year","No","Extrovert"
"Yes",39.8,"In-State","Sophomore","No","Introvert"
"No",33.27,"In-State","First Year","No","In Between"
"Yes",49,"In-State","Sophomore","No","In Between"
"No",27.23,"In-State","First Year","No","Introvert"
"No",30.04,"In-State","Sophomore","No","In Between"
"Yes",519,"Out-of-State Domestic","First Year","No","In Between"
"No",12.26,"In-State","First Year","No","In Between"
"No",39.4,"In-State","First Year","No","Introvert"
"No",44.6,"In-State","First Year","No","In Between"
"Yes",209.8,"Out-of-State Domestic","Sophomore","No","Extrovert"
"Yes",35.75,"In-State","Sophomore","No","Introvert"
"Yes",641.44,"Out-of-State Domestic","Senior","No","In Between"
"Yes",95.73,"In-State","Sophomore","No","Extrovert"
"Yes",519.54,"Out-of-State Domestic","Senior","Yes","In Between"
"Yes",39,"In-State","First Year","No","In Between"
"No",3.18,"In-State","Junior","Yes","In Between"
"Yes",480.93,"Out-of-State Domestic","Junior","No","Extrovert"
